order_id,product_id,customer_id,total_quantity,discount_rate,Cost,Gross_sales,Net_sales,Actual_Profit,Potential_profit,Discount_value,sale_per_unit,cost_per_unit,profit_per_unit
CA-2014-100006,TEC-PH-10002075,DK-13375,3,0.0000,268.36,377.97,377.97,109.61,109.61,0.00,125.99,89.45,36.54
CA-2014-100090,FUR-TA-10003715,EB-13705,3,0.2000,590.43,628.11,502.49,-87.94,37.69,125.62,167.50,196.81,-29.31
CA-2014-100293,OFF-PA-10000176,NF-18475,6,0.2000,59.19,113.83,91.06,31.87,54.63,22.77,15.18,9.87,5.31
CA-2014-100363,OFF-FA-10000611,JM-15655,2,0.2000,1.54,2.96,2.37,0.83,1.42,0.59,1.19,0.77,0.41
CA-2014-100363,OFF-PA-10004733,JM-15655,3,0.2000,12.12,23.76,19.01,6.89,11.64,4.75,6.34,4.04,2.30
CA-2014-100391,OFF-PA-10001471,BW-11065,2,0.0000,7.89,14.62,14.62,6.73,6.73,0.00,7.31,3.95,3.36
CA-2014-100678,FUR-CH-10002602,KM-16720,3,0.3000,335.18,452.94,317.06,-18.12,117.77,135.88,105.69,111.73,-6.04
CA-2014-100678,OFF-AR-10001868,KM-16720,2,0.2000,1.68,3.36,2.69,1.01,1.68,0.67,1.35,0.84,0.50
CA-2014-100678,OFF-EN-10000056,KM-16720,3,0.2000,98.94,186.69,149.35,50.41,87.74,37.34,49.78,32.98,16.80
CA-2014-100678,TEC-AC-10000474,KM-16720,3,0.2000,199.48,284.98,227.98,28.50,85.49,57.00,75.99,66.49,9.50
CA-2014-100706,FUR-FU-10002268,LE-16810,6,0.0000,19.74,29.46,29.46,9.72,9.72,0.00,4.91,3.29,1.62
CA-2014-100706,TEC-AC-10001314,LE-16810,2,0.0000,91.98,99.98,99.98,8.00,8.00,0.00,49.99,45.99,4.00
CA-2014-100762,OFF-AR-10000380,NG-18355,4,0.0000,106.34,151.92,151.92,45.58,45.58,0.00,37.98,26.59,11.39
CA-2014-100762,OFF-LA-10003930,NG-18355,2,0.0000,100.28,196.62,196.62,96.34,96.34,0.00,98.31,50.14,48.17
CA-2014-100762,OFF-PA-10001815,NG-18355,3,0.0000,74.94,144.12,144.12,69.18,69.18,0.00,48.04,24.98,23.06
CA-2014-100762,OFF-PA-10004082,NG-18355,2,0.0000,7.98,15.96,15.96,7.98,7.98,0.00,7.98,3.99,3.99
CA-2014-100860,OFF-LA-10001982,CS-12505,5,0.0000,9.75,18.75,18.75,9.00,9.00,0.00,3.75,1.95,1.80
CA-2014-100867,TEC-PH-10004922,EH-14125,6,0.2000,301.45,401.94,321.55,20.10,100.48,80.39,53.59,50.24,3.35
CA-2014-100881,TEC-PH-10003273,DR-12940,3,0.2000,279.70,377.98,302.38,22.68,98.27,75.60,100.79,93.23,7.56
CA-2014-100895,OFF-AR-10004511,SV-20785,2,0.0000,5.91,8.56,8.56,2.65,2.65,0.00,4.28,2.95,1.33
CA-2014-100895,OFF-ST-10001490,SV-20785,2,0.0000,249.86,356.94,356.94,107.08,107.08,0.00,178.47,124.93,53.54
CA-2014-100895,TEC-PH-10001425,SV-20785,3,0.0000,172.78,239.97,239.97,67.19,67.19,0.00,79.99,57.59,22.40
CA-2014-100916,FUR-TA-10004607,FH-14275,4,0.0000,478.97,591.32,591.32,112.35,112.35,0.00,147.83,119.74,28.09
CA-2014-100916,OFF-AR-10001022,FH-14275,1,0.0000,1.96,2.84,2.84,0.88,0.88,0.00,2.84,1.96,0.88
CA-2014-100916,OFF-ST-10003479,FH-14275,5,0.0000,184.97,194.70,194.70,9.74,9.74,0.00,38.94,36.99,1.95
CA-2014-100972,OFF-PA-10000357,DB-13360,3,0.0000,86.55,166.44,166.44,79.89,79.89,0.00,55.48,28.85,26.63
CA-2014-101147,OFF-AP-10004249,MC-17575,1,0.8000,8.73,11.95,2.39,-6.34,3.22,9.56,2.39,8.73,-6.34
CA-2014-101175,OFF-ST-10004950,DM-12955,6,0.2000,101.96,125.88,100.70,-1.26,23.92,25.18,16.78,16.99,-0.21
CA-2014-101266,OFF-PA-10002986,MM-17920,2,0.0000,6.95,13.36,13.36,6.41,6.41,0.00,6.68,3.47,3.21
CA-2014-101364,OFF-BI-10003984,TW-21025,13,0.2000,196.57,370.89,296.71,100.14,174.32,74.18,22.82,15.12,7.70
CA-2014-101392,OFF-ST-10000532,AS-10630,7,0.0000,199.33,269.36,269.36,70.03,70.03,0.00,38.48,28.48,10.00
CA-2014-101427,OFF-AR-10002257,AY-10555,3,0.2000,6.92,10.03,8.02,1.10,3.11,2.01,2.67,2.31,0.37
CA-2014-101462,FUR-FU-10000409,BP-11230,4,0.0000,32.36,59.92,59.92,27.56,27.56,0.00,14.98,8.09,6.89
CA-2014-101476,TEC-MA-10000029,SD-20485,1,0.0000,39.89,69.99,69.99,30.10,30.10,0.00,69.99,39.89,30.10
CA-2014-101560,FUR-FU-10003773,CS-12250,5,0.0000,353.86,397.60,397.60,43.74,43.74,0.00,79.52,70.77,8.75
CA-2014-101560,OFF-AR-10004757,CS-12250,4,0.0000,8.79,13.12,13.12,4.33,4.33,0.00,3.28,2.20,1.08
CA-2014-101560,OFF-PA-10001363,CS-12250,7,0.0000,45.56,85.96,85.96,40.40,40.40,0.00,12.28,6.51,5.77
CA-2014-101602,FUR-CH-10004675,MC-18100,5,0.3000,785.09,1090.40,763.28,-21.81,305.31,327.12,152.66,157.02,-4.36
CA-2014-101602,TEC-PH-10000169,MC-18100,3,0.2000,49.83,50.85,40.68,-9.15,1.02,10.17,13.56,16.61,-3.05
CA-2014-101770,OFF-BI-10001097,KB-16240,1,0.7000,3.18,6.23,1.87,-1.31,3.06,4.36,1.87,3.18,-1.31
CA-2014-101833,OFF-PA-10003591,FG-14260,3,0.0000,17.22,34.44,34.44,17.22,17.22,0.00,11.48,5.74,5.74
CA-2014-101931,FUR-BO-10001337,TS-21370,6,0.1500,653.29,725.88,617.00,-36.29,72.59,108.88,102.83,108.88,-6.05
CA-2014-101931,OFF-BI-10004140,TS-21370,2,0.2000,4.94,8.98,7.18,2.25,4.04,1.80,3.59,2.47,1.12
CA-2014-101931,OFF-ST-10003442,TS-21370,5,0.0000,103.22,141.40,141.40,38.18,38.18,0.00,28.28,20.64,7.64
CA-2014-101931,OFF-SU-10000646,TS-21370,2,0.0000,466.32,480.74,480.74,14.42,14.42,0.00,240.37,233.16,7.21
CA-2014-101931,OFF-SU-10002301,TS-21370,2,0.0000,6.22,6.28,6.28,0.06,0.06,0.00,3.14,3.11,0.03
CA-2014-102008,OFF-PA-10004092,RA-19915,1,0.0000,24.47,48.94,48.94,24.47,24.47,0.00,48.94,24.47,24.47
CA-2014-102085,OFF-LA-10002475,JD-16015,4,0.0000,15.50,29.24,29.24,13.74,13.74,0.00,7.31,3.87,3.44
CA-2014-102274,OFF-AR-10002833,DH-13075,3,0.0000,3.99,5.46,5.46,1.47,1.47,0.00,1.82,1.33,0.49
CA-2014-102274,OFF-PA-10004359,DH-13075,6,0.0000,327.13,629.10,629.10,301.97,301.97,0.00,104.85,54.52,50.33
CA-2014-102274,OFF-ST-10001511,DH-13075,3,0.0000,184.25,193.95,193.95,9.70,9.70,0.00,64.65,61.42,3.23
CA-2014-102274,TEC-PH-10002923,DH-13075,1,0.0000,27.00,36.99,36.99,9.99,9.99,0.00,36.99,27.00,9.99
CA-2014-102295,FUR-CH-10001714,EH-13990,1,0.2000,138.82,150.89,120.71,-18.11,12.07,30.18,120.71,138.82,-18.11
CA-2014-102330,OFF-LA-10003923,AI-10855,6,0.0000,44.40,88.80,88.80,44.40,44.40,0.00,14.80,7.40,7.40
CA-2014-102330,TEC-PH-10001051,AI-10855,4,0.2000,283.97,399.96,319.97,36.00,115.99,79.99,79.99,70.99,9.00
CA-2014-102645,OFF-PA-10001804,IM-15055,6,0.0000,20.84,40.08,40.08,19.24,19.24,0.00,6.68,3.47,3.21
CA-2014-102652,FUR-FU-10000747,AY-10555,2,0.0000,76.33,91.96,91.96,15.63,15.63,0.00,45.98,38.16,7.82
CA-2014-102652,FUR-FU-10001918,AY-10555,7,0.0000,20.20,33.11,33.11,12.91,12.91,0.00,4.73,2.89,1.84
CA-2014-102652,OFF-PA-10001977,AY-10555,1,0.0000,28.85,55.48,55.48,26.63,26.63,0.00,55.48,28.85,26.63
CA-2014-102652,OFF-PA-10003309,AY-10555,3,0.0000,10.11,19.44,19.44,9.33,9.33,0.00,6.48,3.37,3.11
CA-2014-102673,OFF-AR-10000634,KH-16630,3,0.2000,9.37,12.84,10.27,0.90,3.47,2.57,3.42,3.12,0.30
CA-2014-102673,OFF-FA-10003021,KH-16630,5,0.2000,6.11,9.40,7.52,1.41,3.29,1.88,1.50,1.22,0.28
CA-2014-102673,OFF-LA-10001771,KH-16630,12,0.2000,32.27,59.76,47.81,15.54,27.49,11.95,3.98,2.69,1.29
CA-2014-102673,TEC-PH-10004434,KH-16630,9,0.2000,868.72,1223.55,978.84,110.12,354.83,244.71,108.76,96.52,12.24
CA-2014-102869,FUR-FU-10002456,LC-17140,3,0.2000,12.45,21.84,17.47,5.02,9.39,4.37,5.82,4.15,1.67
CA-2014-102869,OFF-PA-10000788,LC-17140,3,0.2000,10.11,19.44,15.55,5.44,9.33,3.89,5.18,3.37,1.81
CA-2014-102869,TEC-AC-10002134,LC-17140,6,0.2000,69.55,80.88,64.70,-4.85,11.32,16.18,10.78,11.59,-0.81
CA-2014-102869,TEC-PH-10002549,LC-17140,1,0.4000,167.14,225.87,135.52,-31.62,58.73,90.35,135.52,167.14,-31.62
CA-2014-102988,OFF-AR-10000127,GM-14695,7,0.0000,16.30,22.96,22.96,6.66,6.66,0.00,3.28,2.33,0.95
CA-2014-102988,OFF-AR-10004757,GM-14695,7,0.0000,15.38,22.96,22.96,7.58,7.58,0.00,3.28,2.20,1.08
CA-2014-102988,OFF-PA-10003349,GM-14695,2,0.0000,6.61,12.96,12.96,6.35,6.35,0.00,6.48,3.30,3.18
CA-2014-102988,OFF-SU-10002881,GM-14695,5,0.0000,4080.77,4164.05,4164.05,83.28,83.28,0.00,832.81,816.15,16.66
CA-2014-102988,TEC-PH-10001615,GM-14695,1,0.0000,20.58,28.99,28.99,8.41,8.41,0.00,28.99,20.58,8.41
CA-2014-103058,TEC-AC-10001314,AG-10270,2,0.0000,91.98,99.98,99.98,8.00,8.00,0.00,49.99,45.99,4.00
CA-2014-103086,FUR-FU-10004586,EB-14170,2,0.6000,6.90,13.28,5.31,-1.59,6.37,7.97,2.66,3.45,-0.80
CA-2014-103100,OFF-BI-10004600,AB-10105,3,0.0000,607.18,1103.97,1103.97,496.79,496.79,0.00,367.99,202.39,165.60
CA-2014-103100,OFF-LA-10003720,AB-10105,1,0.0000,1.96,3.69,3.69,1.73,1.73,0.00,3.69,1.96,1.73
CA-2014-103191,OFF-ST-10002574,VG-21805,3,0.2000,414.42,414.43,331.54,-82.88,0.00,82.89,110.51,138.14,-27.63
CA-2014-103219,FUR-FU-10004091,BF-11215,9,0.0000,35.04,56.52,56.52,21.48,21.48,0.00,6.28,3.89,2.39
CA-2014-103310,FUR-CH-10002320,GM-14680,1,0.2000,224.68,320.98,256.78,32.10,96.29,64.20,256.78,224.68,32.10
CA-2014-103310,OFF-PA-10004353,GM-14680,2,0.0000,20.78,39.96,39.96,19.18,19.18,0.00,19.98,10.39,9.59
CA-2014-103310,OFF-SU-10004737,GM-14680,6,0.0000,29.96,41.04,41.04,11.08,11.08,0.00,6.84,4.99,1.85
CA-2014-103310,TEC-PH-10001817,GM-14680,5,0.2000,1306.70,1790.00,1432.00,125.30,483.30,358.00,286.40,261.34,25.06
CA-2014-103317,FUR-FU-10001591,DM-13525,2,0.2000,14.15,24.40,19.52,5.37,10.25,4.88,9.76,7.08,2.68
CA-2014-103317,FUR-FU-10003192,DM-13525,3,0.2000,197.23,266.53,213.22,15.99,69.30,53.31,71.07,65.74,5.33
CA-2014-103317,OFF-BI-10001787,DM-13525,5,0.7000,16.68,32.70,9.81,-6.87,16.02,22.89,1.96,3.34,-1.37
CA-2014-103331,FUR-FU-10001731,KB-16315,4,0.0000,6.62,10.68,10.68,4.06,4.06,0.00,2.67,1.66,1.01
CA-2014-103331,OFF-PA-10002160,KB-16315,3,0.0000,8.84,17.34,17.34,8.50,8.50,0.00,5.78,2.95,2.83
CA-2014-103331,OFF-PA-10002659,KB-16315,1,0.0000,1.83,3.38,3.38,1.55,1.55,0.00,3.38,1.83,1.55
CA-2014-103366,TEC-AC-10003628,EH-13990,5,0.0000,83.97,149.95,149.95,65.98,65.98,0.00,29.99,16.79,13.20
CA-2014-103373,TEC-PH-10002885,BS-11755,2,0.4000,948.76,1299.67,779.80,-168.96,350.91,519.87,389.90,474.38,-84.48
CA-2014-103401,OFF-PA-10003309,GR-14560,2,0.0000,6.74,12.96,12.96,6.22,6.22,0.00,6.48,3.37,3.11
CA-2014-103429,OFF-AP-10001005,LW-16825,3,0.0000,158.09,235.95,235.95,77.86,77.86,0.00,78.65,52.70,25.95
CA-2014-103429,OFF-BI-10004233,LW-16825,2,0.2000,16.63,31.98,25.58,8.95,15.35,6.40,12.79,8.31,4.48
CA-2014-103429,OFF-PA-10001712,LW-16825,4,0.0000,21.98,39.96,39.96,17.98,17.98,0.00,9.99,5.49,4.50
CA-2014-103429,TEC-PH-10003505,LW-16825,5,0.0000,329.44,464.00,464.00,134.56,134.56,0.00,92.80,65.89,26.91
CA-2014-103492,OFF-BI-10004140,CM-12715,1,0.8000,2.47,4.50,0.90,-1.57,2.03,3.60,0.90,2.47,-1.57
CA-2014-103492,OFF-BI-10004817,CM-12715,5,0.8000,31.15,59.90,11.98,-19.17,28.75,47.92,2.40,6.23,-3.83
CA-2014-103492,TEC-PH-10001128,CM-12715,6,0.2000,647.95,899.94,719.95,72.00,251.98,179.99,119.99,107.99,12.00
CA-2014-103492,TEC-PH-10004667,CM-12715,7,0.2000,689.79,944.93,755.94,66.15,255.13,188.99,107.99,98.54,9.45
CA-2014-103590,OFF-EN-10004007,JL-15505,4,0.0000,33.01,62.28,62.28,29.27,29.27,0.00,15.57,8.25,7.32
CA-2014-103660,TEC-PH-10000895,MW-18220,7,0.2000,932.34,1259.93,1007.94,75.60,327.58,251.99,143.99,133.19,10.80
CA-2014-103702,OFF-BI-10002429,AF-10885,7,0.7000,110.80,213.07,63.92,-46.88,102.27,149.15,9.13,15.83,-6.70
CA-2014-103744,OFF-BI-10000320,MG-17875,3,0.8000,11.29,22.15,4.43,-6.86,10.86,17.72,1.48,3.76,-2.29
CA-2014-103744,OFF-LA-10004425,MG-17875,3,0.2000,4.60,8.68,6.94,2.34,4.08,1.74,2.31,1.53,0.78
CA-2014-103807,TEC-AC-10000199,EM-13825,1,0.0000,5.12,5.95,5.95,0.83,0.83,0.00,5.95,5.12,0.83
CA-2014-103849,FUR-FU-10000723,PG-18895,4,0.6000,150.40,165.28,66.11,-84.29,14.87,99.17,16.53,37.60,-21.07
CA-2014-103849,TEC-AC-10001465,PG-18895,2,0.2000,50.85,72.64,58.11,7.26,21.79,14.53,29.06,25.42,3.63
CA-2014-103849,TEC-PH-10002597,PG-18895,1,0.2000,94.49,125.99,100.79,6.30,31.50,25.20,100.79,94.49,6.30
CA-2014-103940,FUR-FU-10004671,BN-11515,2,0.0000,21.91,35.34,35.34,13.43,13.43,0.00,17.67,10.96,6.71
CA-2014-103940,OFF-BI-10002735,BN-11515,5,0.2000,90.92,171.55,137.24,46.32,80.63,34.31,27.45,18.18,9.26
CA-2014-103940,OFF-ST-10000943,BN-11515,3,0.0000,41.71,57.93,57.93,16.22,16.22,0.00,19.31,13.90,5.41
CA-2014-103940,OFF-ST-10004963,BN-11515,2,0.0000,29.07,30.28,30.28,1.21,1.21,0.00,15.14,14.53,0.61
CA-2014-103989,FUR-FU-10002508,MC-17605,3,0.2000,14.52,25.03,20.02,5.50,10.51,5.01,6.67,4.84,1.83
CA-2014-103989,FUR-FU-10003981,MC-17605,3,0.2000,3.62,6.24,4.99,1.37,2.62,1.25,1.66,1.21,0.46
CA-2014-103989,OFF-BI-10001196,MC-17605,5,0.7000,59.31,111.90,33.57,-25.74,52.59,78.33,6.71,11.86,-5.15
CA-2014-103989,OFF-LA-10000443,MC-17605,4,0.2000,7.82,14.76,11.81,3.99,6.94,2.95,2.95,1.96,1.00
