Order Number,Line Item,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code,Delivery Date Missing
366000,1,2016-01-01,2016-01-08,265598,10,1304,1,Cad,True
366001,1,2016-01-01,2016-01-13,1269051,0,1048,2,Usd,False
366001,2,2016-01-01,2016-01-13,1269051,0,2007,1,Usd,False
366002,1,2016-01-01,2016-01-12,266019,0,1106,7,Cad,False
366002,2,2016-01-01,2016-01-12,266019,0,373,1,Cad,False
366002,3,2016-01-01,2016-01-12,266019,0,1080,4,Cad,False
366004,1,2016-01-01,2016-01-08,1107461,38,163,6,Gbp,True
366004,2,2016-01-01,2016-01-08,1107461,38,1529,2,Gbp,True
366005,1,2016-01-01,2016-01-08,844003,33,421,4,Eur,True
366007,1,2016-01-01,2016-01-08,2035771,43,1617,1,Usd,True
366007,2,2016-01-01,2016-01-08,2035771,43,666,5,Usd,True
366008,1,2016-01-01,2016-01-08,759705,29,1154,9,Eur,True
366008,2,2016-01-01,2016-01-08,759705,29,2510,1,Eur,True
366008,3,2016-01-01,2016-01-08,759705,29,1060,5,Eur,True
366009,1,2016-01-01,2016-01-08,254540,9,1648,1,Cad,True
366010,1,2016-01-01,2016-01-08,370077,0,618,5,Cad,False
366011,1,2016-01-01,2016-01-08,1984985,66,128,7,Usd,True
366011,2,2016-01-01,2016-01-08,1984985,66,1638,1,Usd,True
366011,3,2016-01-01,2016-01-08,1984985,66,1634,1,Usd,True
366011,4,2016-01-01,2016-01-08,1984985,66,2392,3,Usd,True
366012,1,2016-01-01,2016-01-08,1977527,65,1807,1,Usd,True
366012,2,2016-01-01,2016-01-08,1977527,65,1594,4,Usd,True
366012,3,2016-01-01,2016-01-08,1977527,65,1297,1,Usd,True
366013,1,2016-01-01,2016-01-08,1187306,41,1654,5,Gbp,True
366014,1,2016-01-01,2016-01-06,738549,0,123,1,Eur,False
366014,2,2016-01-01,2016-01-06,738549,0,1700,2,Eur,False
366016,1,2016-01-01,2016-01-08,1982762,63,1253,7,Usd,True
367000,1,2016-01-02,2016-01-09,1438050,56,1176,1,Usd,True
367003,1,2016-01-02,2016-01-09,980164,40,153,2,Gbp,True
367004,1,2016-01-02,2016-01-09,1853699,56,136,1,Usd,True
367004,2,2016-01-02,2016-01-09,1853699,56,1637,4,Usd,True
367005,1,2016-01-02,2016-01-10,758280,0,1691,1,Eur,False
367005,2,2016-01-02,2016-01-10,758280,0,319,2,Eur,False
367005,3,2016-01-02,2016-01-10,758280,0,1674,8,Eur,False
367005,4,2016-01-02,2016-01-10,758280,0,2511,9,Eur,False
367005,5,2016-01-02,2016-01-10,758280,0,1720,2,Eur,False
367005,6,2016-01-02,2016-01-10,758280,0,1597,7,Eur,False
367005,7,2016-01-02,2016-01-10,758280,0,784,1,Eur,False
367006,1,2016-01-02,2016-01-09,693285,18,2445,3,Eur,True
367007,1,2016-01-02,2016-01-09,1730985,57,65,7,Usd,True
367007,2,2016-01-02,2016-01-09,1730985,57,1432,9,Usd,True
367008,1,2016-01-02,2016-01-09,763246,28,1951,3,Eur,True
367009,1,2016-01-02,2016-01-09,1512558,57,934,1,Usd,True
367009,2,2016-01-02,2016-01-09,1512558,57,930,8,Usd,True
367009,3,2016-01-02,2016-01-09,1512558,57,1436,5,Usd,True
367009,4,2016-01-02,2016-01-09,1512558,57,1547,3,Usd,True
367009,5,2016-01-02,2016-01-09,1512558,57,53,5,Usd,True
367010,1,2016-01-02,2016-01-09,1322959,66,917,1,Usd,True
367010,2,2016-01-02,2016-01-09,1322959,66,39,1,Usd,True
367011,1,2016-01-02,2016-01-09,507981,22,39,1,Eur,True
367012,1,2016-01-02,2016-01-09,209990,9,1653,5,Cad,True
367012,2,2016-01-02,2016-01-09,209990,9,145,3,Cad,True
367013,1,2016-01-02,2016-01-09,815458,31,1733,2,Eur,True
367013,2,2016-01-02,2016-01-09,815458,31,41,6,Eur,True
367014,1,2016-01-02,2016-01-09,1839627,56,1184,3,Usd,True
367015,1,2016-01-02,2016-01-09,911025,42,2296,7,Gbp,True
