"order_id";"customer_id";"product_id";"quantity";"unit_price";"order_date";"delivery_status";"payment_method";"region";"discount_applied";"sale_gross_price";"sale_net_price";"total_discount"
"O101218";"C00272";"P0004";1;13.67;"2025-07-06";"Delivered";"Credit Card";"West";0.2;13.67;10.936;2.734
"O101442";"C00381";"P0022";3;13.01;"2025-07-06";"Delayed";"Credit Card";"West";0.05;39.03;37.0785;1.9515
"O101570";"C00265";"P0026";5;19.4;"2025-07-06";"Delivered";"PayPal";"West";0.1;97.0;87.3;9.7
"O101648";"C00238";"P0011";1;19.39;"2025-07-06";"Delayed";"Credit Card";"South";0.0;19.39;19.39;0.0
"O101988";"C00343";"P0024";5;14.06;"2025-07-06";"Delayed";"PayPal";"East";0.0;70.3;70.3;0.0
"O102250";"C00040";"P0006";4;21.36;"2025-07-06";"Delivered";"Credit Card";"West";0.0;85.44;85.44;0.0
"O102507";"C00303";"P0011";4;37.84;"2025-07-06";"Delivered";"PayPal";"North";0.15;151.36;128.656;22.704
"O102518";"C00419";"P0030";3;28.86;"2025-07-06";"Delayed";"Credit Card";"North";0.0;86.58;86.58;0.0
"O102812";"C00253";"P0006";4;32.3;"2025-07-06";"Delayed";"Credit Card";"South";0.15;129.2;109.82;19.38
"O103107";"C00312";"P0028";5;32.7;"2025-07-06";"Delivered";"PayPal";"North";0.05;163.5;155.325;8.175
"O103110";"C00198";"P0006";3;19.87;"2025-07-06";"Delayed";"Credit Card";"South";0.2;59.61;47.688;11.922
"O103137";"C00056";"P0014";1;8.0;"2025-07-06";"Delayed";"PayPal";"North";0.15;8.0;6.8;1.2
"O103312";"C00314";"P0005";3;43.69;"2025-07-06";"Delayed";"PayPal";"West";0.15;131.07;111.4095;19.6605
"O103714";"C00132";"P0027";2;34.96;"2025-07-06";"Delayed";"Bank Transfer";"South";0.05;69.92;66.424;3.496
"O103896";"C00496";"P0011";3;48.37;"2025-07-06";"Delivered";"Credit Card";"South";0.2;145.11;116.088;29.022
"O104473";"C00164";"P0003";5;28.23;"2025-07-06";"Delivered";"Bank Transfer";"Central";0.1;141.15;127.035;14.115
"O107022";"C00115";"P0023";2;31.65;"2025-07-06";"Delivered";"Credit Card";"North";0.0;63.3;63.3;0.0
"O107613";"C00439";"P0022";5;8.03;"2025-07-06";"Cancelled";"PayPal";"South";0.2;40.15;32.12;8.03
"O107935";"C00138";"P0010";4;36.67;"2025-07-06";"Delivered";"Credit Card";"Central";0.1;146.68;132.012;14.668
"O108647";"C00440";"P0027";1;48.17;"2025-07-06";"Delivered";"PayPal";"South";0.05;48.17;45.7615;2.4085
"O109814";"C00451";"P0005";5;41.96;"2025-07-06";"Delayed";"PayPal";"Central";0.05;209.8;199.31;10.49
"O110354";"C00010";"P0026";1;11.32;"2025-07-06";"Delivered";"Bank Transfer";"South";0.15;11.32;9.622;1.698
