ProductKey,Product Name,Brand,Color,Unit Cost USD,Unit Price USD,SubcategoryKey,Subcategory,CategoryKey,Category
1,Contoso 512Mb Mp3 Player E51 Silver,Contoso,Silver,6.62,12.99,101,Mp4&Mp3,1,Audio
2,Contoso 512Mb Mp3 Player E51 Blue,Contoso,Blue,6.62,12.99,101,Mp4&Mp3,1,Audio
3,Contoso 1G Mp3 Player E100 White,Contoso,White,7.4,14.52,101,Mp4&Mp3,1,Audio
4,Contoso 2G Mp3 Player E200 Silver,Contoso,Silver,11.0,21.57,101,Mp4&Mp3,1,Audio
5,Contoso 2G Mp3 Player E200 Red,Contoso,Red,11.0,21.57,101,Mp4&Mp3,1,Audio
6,Contoso 2G Mp3 Player E200 Black,Contoso,Black,11.0,21.57,101,Mp4&Mp3,1,Audio
7,Contoso 2G Mp3 Player E200 Blue,Contoso,Blue,11.0,21.57,101,Mp4&Mp3,1,Audio
8,Contoso 4G Mp3 Player E400 Silver,Contoso,Silver,30.58,59.99,101,Mp4&Mp3,1,Audio
9,Contoso 4G Mp3 Player E400 Black,Contoso,Black,30.58,59.99,101,Mp4&Mp3,1,Audio
10,Contoso 4G Mp3 Player E400 Green,Contoso,Green,30.58,59.99,101,Mp4&Mp3,1,Audio
11,Contoso 4G Mp3 Player E400 Orange,Contoso,Orange,30.58,59.99,101,Mp4&Mp3,1,Audio
12,Contoso 4Gb Flash Mp3 Player E401 Blue,Contoso,Blue,35.72,77.68,101,Mp4&Mp3,1,Audio
13,Contoso 4Gb Flash Mp3 Player E401 Black,Contoso,Black,35.72,77.68,101,Mp4&Mp3,1,Audio
14,Contoso 4Gb Flash Mp3 Player E401 Silver,Contoso,Silver,35.72,77.68,101,Mp4&Mp3,1,Audio
15,Contoso 4Gb Flash Mp3 Player E401 White,Contoso,White,35.72,77.68,101,Mp4&Mp3,1,Audio
16,Contoso 8Gb Super-Slim Mp3/Video Player M800 White,Contoso,White,50.56,109.95,101,Mp4&Mp3,1,Audio
17,Contoso 8Gb Super-Slim Mp3/Video Player M800 Red,Contoso,Red,50.56,109.95,101,Mp4&Mp3,1,Audio
18,Contoso 8Gb Super-Slim Mp3/Video Player M800 Green,Contoso,Green,50.56,109.95,101,Mp4&Mp3,1,Audio
19,Contoso 8Gb Super-Slim Mp3/Video Player M800 Pink,Contoso,Pink,50.56,109.95,101,Mp4&Mp3,1,Audio
20,Contoso 8Gb Mp3 Player New Model M820 Black,Contoso,Black,61.62,134.0,101,Mp4&Mp3,1,Audio
21,Contoso 8Gb Mp3 Player New Model M820 Blue,Contoso,Blue,61.62,134.0,101,Mp4&Mp3,1,Audio
22,Contoso 8Gb Mp3 Player New Model M820 Yellow,Contoso,Yellow,61.62,134.0,101,Mp4&Mp3,1,Audio
23,Contoso 8Gb Mp3 Player New Model M820 White,Contoso,White,61.62,134.0,101,Mp4&Mp3,1,Audio
24,Contoso 16Gb Mp5 Player M1600 Blue,Contoso,Blue,91.93,199.9,101,Mp4&Mp3,1,Audio
25,Contoso 16Gb Mp5 Player M1600 Black,Contoso,Black,91.93,199.9,101,Mp4&Mp3,1,Audio
26,Contoso 16Gb Mp5 Player M1600 Green,Contoso,Green,91.93,199.9,101,Mp4&Mp3,1,Audio
27,Contoso 16Gb Mp5 Player M1600 White,Contoso,White,91.93,199.9,101,Mp4&Mp3,1,Audio
28,Contoso 16Gb Mp5 Player M1600 Red,Contoso,Red,91.93,199.9,101,Mp4&Mp3,1,Audio
29,Contoso 32Gb Video Mp3 Player M3200 White,Contoso,White,84.49,255.0,101,Mp4&Mp3,1,Audio
30,Contoso 32Gb Video Mp3 Player M3200 Red,Contoso,Red,84.49,255.0,101,Mp4&Mp3,1,Audio
31,Contoso 32Gb Video Mp3 Player M3200 Orange,Contoso,Orange,84.49,255.0,101,Mp4&Mp3,1,Audio
32,Contoso 32Gb Video Mp3 Player M3200 Pink,Contoso,Pink,84.49,255.0,101,Mp4&Mp3,1,Audio
33,Contoso 32Gb Video Mp3 Player M3200 Black,Contoso,Black,84.49,255.0,101,Mp4&Mp3,1,Audio
34,Contoso 4Gb Portable Mp3 Player M450 Black,Contoso,Black,48.92,95.95,101,Mp4&Mp3,1,Audio
35,Contoso 4Gb Portable Mp3 Player M450 White,Contoso,White,48.92,95.95,101,Mp4&Mp3,1,Audio
36,Contoso 4Gb Portable Mp3 Player M450 Yellow,Contoso,Yellow,48.92,95.95,101,Mp4&Mp3,1,Audio
37,Contoso 8Gb Clock & Radio Mp3 Player X850 Silver,Contoso,Silver,99.14,299.23,101,Mp4&Mp3,1,Audio
38,Contoso 8Gb Clock & Radio Mp3 Player X850 Black,Contoso,Black,99.14,299.23,101,Mp4&Mp3,1,Audio
39,Contoso 8Gb Clock & Radio Mp3 Player X850 Green,Contoso,Green,99.14,299.23,101,Mp4&Mp3,1,Audio
40,Contoso 8Gb Clock & Radio Mp3 Player X850 Blue,Contoso,Blue,99.14,299.23,101,Mp4&Mp3,1,Audio
41,Contoso 16Gb New Generation Mp5 Player M1650 Silver,Contoso,Silver,106.69,232.0,101,Mp4&Mp3,1,Audio
42,Contoso 16Gb New Generation Mp5 Player M1650 White,Contoso,White,106.69,232.0,101,Mp4&Mp3,1,Audio
43,Contoso 16Gb New Generation Mp5 Player M1650 Black,Contoso,Black,106.69,232.0,101,Mp4&Mp3,1,Audio
44,Contoso 16Gb New Generation Mp5 Player M1650 Blue,Contoso,Blue,106.69,232.0,101,Mp4&Mp3,1,Audio
45,Contoso 16Gb New Generation Mp5 Player M1650 Pink,Contoso,Pink,106.69,232.0,101,Mp4&Mp3,1,Audio
46,Wwi 1Gb Pulse Smart Pen E50 White,Wide World Importers,White,76.45,149.95,104,Recording Pen,1,Audio
47,Wwi 1Gbpulse Smart Pen E50 Black,Wide World Importers,Black,76.45,149.95,104,Recording Pen,1,Audio
48,Wwi 1Gb Pulse Smart Pen E50 Silver,Wide World Importers,Silver,76.45,149.95,104,Recording Pen,1,Audio
49,Wwi 2Gb Pulse Smart Pen M100 White,Wide World Importers,White,91.95,199.95,104,Recording Pen,1,Audio
50,Wwi 2Gb Pulse Smart Pen M100 Black,Wide World Importers,Black,91.95,199.95,104,Recording Pen,1,Audio
51,Wwi 2Gb Pulse Smart Pen M100 Blue,Wide World Importers,Blue,91.95,199.95,104,Recording Pen,1,Audio
52,Wwi 2Gb Pulse Smart Pen M100 Silver,Wide World Importers,Silver,91.95,199.95,104,Recording Pen,1,Audio
53,Wwi 4Gb Video Recording Pen X200 Black,Wide World Importers,Black,98.07,296.0,104,Recording Pen,1,Audio
54,Wwi 4Gb Video Recording Pen X200 Red,Wide World Importers,Red,98.07,296.0,104,Recording Pen,1,Audio
55,Wwi 4Gb Video Recording Pen X200 Pink,Wide World Importers,Pink,98.07,296.0,104,Recording Pen,1,Audio
56,Wwi 4Gb Video Recording Pen X200 Yellow,Wide World Importers,Yellow,98.07,296.0,104,Recording Pen,1,Audio
57,Wwi 1Gb Digital Voice Recorder Pen E100 Black,Wide World Importers,Black,79.53,156.0,104,Recording Pen,1,Audio
58,Wwi 1Gb Digital Voice Recorder Pen E100 Red,Wide World Importers,Red,79.53,156.0,104,Recording Pen,1,Audio
59,Wwi 1Gb Digital Voice Recorder Pen E100 Pink,Wide World Importers,Pink,79.53,156.0,104,Recording Pen,1,Audio
60,Wwi 1Gb Digital Voice Recorder Pen E100 White,Wide World Importers,White,79.53,156.0,104,Recording Pen,1,Audio
61,Wwi 2Gb Spy Video Recorder Pen M300 Black,Wide World Importers,Black,83.24,181.0,104,Recording Pen,1,Audio
62,Wwi 2Gb Spy Video Recorder Pen M300 White,Wide World Importers,White,83.24,181.0,104,Recording Pen,1,Audio
63,Wwi 2Gb Spy Video Recorder Pen M300 Blue,Wide World Importers,Blue,83.24,181.0,104,Recording Pen,1,Audio
64,Wwi 2Gb Spy Video Recorder Pen M300 Silver,Wide World Importers,Silver,83.24,181.0,104,Recording Pen,1,Audio
65,Wwi 2Gb Spy Video Recorder Pen M300 Purple,Wide World Importers,Purple,83.24,181.0,104,Recording Pen,1,Audio
66,Nt Bluetooth Stereo Headphones E52 Blue,Northwind Traders,Blue,13.1,25.69,106,Bluetooth Headphones,1,Audio
67,Nt Bluetooth Stereo Headphones E52 Black,Northwind Traders,Black,13.1,25.69,106,Bluetooth Headphones,1,Audio
68,Nt Bluetooth Stereo Headphones E52 Yellow,Northwind Traders,Yellow,13.1,25.69,106,Bluetooth Headphones,1,Audio
69,Nt Bluetooth Stereo Headphones E52 Pink,Northwind Traders,Pink,13.1,25.69,106,Bluetooth Headphones,1,Audio
70,Nt Wireless Bluetooth Stereo Headphones E102 Silver,Northwind Traders,Silver,22.05,47.95,106,Bluetooth Headphones,1,Audio
71,Nt Wireless Bluetooth Stereo Headphones E102 Black,Northwind Traders,Black,22.05,47.95,106,Bluetooth Headphones,1,Audio
72,Nt Wireless Bluetooth Stereo Headphones E102 Blue,Northwind Traders,Blue,22.05,47.95,106,Bluetooth Headphones,1,Audio
73,Nt Wireless Bluetooth Stereo Headphones E102 White,Northwind Traders,White,22.05,47.95,106,Bluetooth Headphones,1,Audio
74,Nt Bluetooth Active Headphones E202 Black,Northwind Traders,Black,17.45,37.95,106,Bluetooth Headphones,1,Audio
